[63FD6149]
;FEI-1210016
935E,2.00,2297,-8192,-1356
95BE,2.00,2774,-8063,-1327
964A,2.00,2886,-8030,-1322
96C5,2.00,2976,-7988,-1314
97EA,2.00,3206,-7908,-1295
98E2,2.00,3404,-7838,-1278
98E3,2.00,3406,-7836,-1279
9A75,2.00,3705,-7713,-1253
9AE5,2.00,3790,-7674,-1245
9B7D,2.00,3903,-7620,-1234
9C30,2.00,4036,-7557,-1218
9C30,2.00,4037,-7556,-1219
9DAB,2.00,4313,-7418,-1188
9E8F,2.00,4479,-7331,-1171
9F23,2.00,4583,-7269,-1159
A06C,2.00,4814,-7131,-1128
A0DC,2.00,4889,-7083,-1118
A255,2.00,5149,-6913,-1080
A4C5,2.00,5567,-6616,-1012
A4C3,2.00,5566,-6616,-1010
A58C,2.00,5705,-6514,-986
A69B,2.00,5872,-6372,-955
A712,2.00,5944,-6307,-943
A877,2.00,6167,-6110,-895
A98A,2.00,6331,-5953,-861
AB30,2.00,6560,-5697,-806
ABB3,2.00,6641,-5623,-788
AC75,2.00,6738,-5499,-761
ACE8,2.00,6800,-5427,-744
AE45,2.00,6986,-5209,-696
B1D9,2.00,7430,-4612,-566
B34A,2.00,7593,-4358,-511
B480,2.00,7727,-4145,-464
B526,2.00,7787,-4017,-437
B64D,2.00,7900,-3801,-391
B6F9,2.00,7960,-3674,-360
B93A,2.00,8166,-3241,-271
BB3C,2.00,8308,-2848,-188
BD65,2.00,8438,-2417,-96
BF76,2.00,8557,-1999,-1
C1D8,2.00,8639,-1510,102
C345,2.00,8693,-1218,163
C4F9,2.00,8729,-866,238
C725,2.00,8757,-414,334
C984,2.00,8756,81,439
CC8D,2.00,8721,716,571
CF69,2.00,8646,1309,695
D03B,2.00,8606,1480,731
D31B,2.00,8481,2063,853
D644,2.00,8264,2684,983
DAEA,2.00,7866,3576,1173
DBB4,2.00,7803,3731,1205
DED1,2.00,7476,4295,1325
E453,2.00,6807,5223,1519
E453,2.00,6807,5222,1522
E566,2.00,6662,5393,1571
E7C7,2.00,6326,5765,1632
EA73,2.00,5916,6146,1707
EEC7,2.00,5199,6698,1820
EFD6,2.00,5016,6819,1846
F4F9,2.00,4102,7367,1955
F72C,2.00,3686,7563,1993
F92A,2.00,3294,7718,2017
FC3D,2.00,2688,7926,2054
0171,2.00,1645,8176,2102
031D,2.00,1302,8233,2113
0563,2.00,828,8284,2131
08AC,2.00,146,8312,2138
0BAE,2.00,-464,8287,2124
112E,2.00,-1599,8141,2089
1326,2.00,-2001,8056,2070
18F7,2.00,-3151,7696,1990
1BAF,2.00,-3661,7474,1940
1E0D,2.00,-4108,7259,1893
21D8,2.00,-4783,6854,1809
24B8,2.00,-5262,6507,1733
2A91,2.00,-6166,5698,1556
2D19,2.00,-6526,5308,1473
2FC0,2.00,-6880,4889,1383
3275,2.00,-7200,4433,1280
350C,2.00,-7470,3964,1179
3989,2.00,-7866,3109,990
3CC6,2.00,-8094,2483,855
3F34,2.00,-8226,2003,751
429B,2.00,-8378,1306,595
4A2E,2.00,-8483,-257,266
4FFE,2.00,-8353,-1460,-2
5BE8,2.00,-7551,-3786,-487
60BB,2.00,-7039,-4653,-667
67E2,2.00,-6095,-5805,-904
6E06,2.00,-5143,-6657,-1079
766D,2.00,-3628,-7547,-1266
7AD2,2.00,-2785,-7911,-1335
806B,2.00,-1657,-8221,-1393
843A,2.00,-859,-8357,-1419
8740,2.00,-226,-8410,-1426
88F3,2.00,120,-8413,-1424
8A9E,2.00,471,-8415,-1422
8E49,2.00,1242,-8365,-1405
9378,2.00,2305,-8166,-1359
97C7,2.00,3175,-7912,-1299
9ADE,2.00,3785,-7676,-1250
9ED9,2.00,4528,-7302,-1168
A2FE,2.00,5256,-6832,-1063
A6AE,2.00,5871,-6357,-958
AC66,2.00,6728,-5511,-768
B340,2.00,7577,-4361,-513
B493,2.00,7720,-4124,-467
B5B6,2.00,7833,-3910,-422
B764,2.00,7982,-3590,-354
BA09,2.00,8209,-3076,-245
BD28,2.00,8424,-2464,-117
C22C,2.00,8659,-1442,103
C329,2.00,8686,-1240,143
C447,2.00,8719,-1011,192
C5FC,2.00,8745,-656,271
CD3F,2.00,8707,863,588
CE8B,2.00,8674,1135,643
CE6E,2.00,8676,1111,636
CFAB,2.00,8639,1369,692
D357,2.00,8462,2109,849
D5A7,2.00,8328,2571,949
D606,2.00,8291,2643,966
D957,2.00,8038,3291,1102
DBC3,2.00,7800,3746,1201
DE84,2.00,7515,4246,1307
E061,2.00,7311,4574,1379
E25A,2.00,7069,4905,1451
E385,2.00,6920,5095,1492
E4EC,2.00,6742,5330,1542
E723,2.00,6424,5676,1614
E726,2.00,6423,5678,1616
EB49,2.00,5784,6259,1735
EB98,2.00,5743,6306,1743
EF46,2.00,5126,6774,1840
F1F9,2.00,4658,7081,1903
F543,2.00,4061,7412,1967
F742,2.00,3681,7585,2000
F98C,2.00,3235,7760,2040
